0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,42,4,11,4 | S=(0,0) | I=(2,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(2,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(2,0) | sp=883 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(2,0) | sp=884 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(2,0) | sp=24 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(2,0) | sp=93 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,53,6 | S=(0,0) | I=(2,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,53,6 | S=(0,0) | I=(2,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,53,6 | S=(0,0) | I=(2,0) | sp=883 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,54,6 | S=(0,0) | I=(2,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,54,6 | S=(0,0) | I=(2,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,54,7 | S=(0,0) | I=(2,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,54,7 | S=(0,0) | I=(2,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,54,7 | S=(0,0) | I=(2,0) | sp=883 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,54,8 | S=(0,0) | I=(2,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,54,8 | S=(0,0) | I=(2,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,54,8 | S=(0,0) | I=(2,0) | sp=883 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,54,8 | S=(0,0) | I=(2,0) | sp=93 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,7 | S=(0,0) | I=(2,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,7 | S=(0,0) | I=(2,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,8 | S=(0,0) | I=(2,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,8 | S=(0,0) | I=(2,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,8 | S=(0,0) | I=(2,0) | sp=883 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(2,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(2,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(2,0) | sp=883 | ip=1
0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(2,0) | sp=93 | ip=1
